NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,b22,b23a,b23b,b24,b25a,b25b,b25c,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT2,PESOFIT
173,1,1,1,1,1,1948,1,,,3,5,,44,60,,1968,2,2,1,1,,,2,15,2,19,1,,25,2,,,1,35,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,72,18,3,18,,,5,6,3,5,1,1,0,0,1,3,4,2,4,1604.8708184,0.3954309179
633,1,1,2,1,1,1934,1,,,4,3,,,,,,,,1,1,,,2,16,,,3,1,16,1,20,,1,20,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,86,5,1,5,,,5,6,3,5,1,1,0,0,1,1,2,1,3,4162.8749898,1.0257083993
923,1,1,2,1,1,1932,1,,,4,2,,,,,,,,1,1,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,88,13,3,13,,,5,6,3,5,1,1,0,0,1,3,4,2,4,3606.3505231,0.888583979
2886,2,1,1,1,1,1949,1,,,1,5,,37,60,,1970,2,1,1,1,,,2,15,2,16,1,,26,2,,,1,35,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,13,3,13,,,5,6,3,5,0,1,0,0,2,3,4,2,3,1014.4554046,0.2499559635
2886,2,2,2,2,1,1952,1,,,1,6,3,110,110,1,2001,5,,1,2,,,2,15,2,17,1,,20,2,,,1,42,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,13,3,13,,,5,6,3,5,1,1,0,0,2,3,4,2,3,1014.4554046,0.2499559635
3717,1,1,2,1,1,1954,1,,,2,4,,,,,,,,1,1,,,2,13,,,2,1,18,1,38,,1,8,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,66,16,3,16,,,5,7,3,5,1,1,0,0,1,3,4,2,4,521.84483186,0.1285795582
5416,4,1,2,1,1,1958,1,,,3,3,,,,,,,,1,1,,,2,15,1,19,3,1,16,2,,,1,30,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,62,8,1,8,,,4,6,3,5,0,1,0,3,4,1,2,2,4,2562.8170879,0.6314633563
5416,4,2,2,6,1,1979,1,,,3,5,,68,100,,1998,2,2,2,2,,,1,2,,,2,1,19,2,,,1,18,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,4311,19,20,2,2,,41,8,1,8,,,2,2,1,4,0,1,1,3,4,1,2,2,4,2562.8170879,0.6314633563
5416,4,3,2,6,1,1991,1,,,2,5,,70,100,,2010,2,2,2,3,,,1,2,,,1,,18,2,,,1,6,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,8143,3,,2,2,,29,8,1,8,,,1,2,1,2,0,1,1,3,4,1,2,2,4,2562.8170879,0.6314633563
5416,4,4,1,6,1,1981,1,,,2,4,,,,,,,,2,4,,,1,2,,,3,1,17,2,,,1,14,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,8143,19,17,2,2,,39,8,1,8,,,2,2,1,4,1,1,1,3,4,1,2,2,4,2562.8170879,0.6314633563
7886,2,1,1,1,1,1950,1,,,1,5,,36,60,,1969,2,2,1,1,,,2,15,2,11,1,,22,2,,,1,35,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,70,9,2,9,,,5,6,3,5,1,1,0,1,2,2,3,0,2,5200.2735908,1.2813174342
7886,2,2,2,2,1,1953,1,,,1,5,,36,60,,1974,2,2,2,2,,,1,2,,,1,,52,2,,,1,15,0,2,,2,,,,,,,,2,,1,2,2,2,1,2,2,,4223,17,,2,2,,67,9,2,9,,,5,2,1,3,0,1,1,1,2,2,3,0,2,5200.2735908,1.2813174342
20297,2,1,1,1,1,1960,1,,,1,3,,,,,,,,1,1,,,2,15,1,19,3,1,14,2,,,1,39,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,60,5,1,5,,,4,6,3,5,1,1,0,1,2,1,2,2,5,4869.2330996,1.1997509656
20297,2,2,2,2,2,1979,2,2007,4,1,3,,,,,,,,2,2,,,1,1,,,3,1,29,1,1,,1,11,0,1,,2,,,2,,,,,2,,1,2,2,2,1,2,2,,9112,9,31,2,2,,41,,,5,,,2,1,1,4,0,1,1,1,2,1,2,2,5,4869.2330996,1.1997509656
20711,2,1,2,1,1,1945,1,,,1,3,,,,,,,,1,1,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,75,4,1,4,,,5,7,3,5,0,0,0,0,1,1,2,0,2,10194.750713,2.5119278051
20711,2,2,1,2,1,1944,1,,,1,2,,,,,,,,2,2,,,2,15,1,6,3,1,15,2,,,1,37,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,4,1,4,,,5,6,3,5,1,1,0,0,1,1,2,0,2,10194.750713,2.5119278051
