NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA4,YTA5,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
173,33061.977405,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,9661.9774054,9600,0,9600,61.977405444,61.977405444,0,0,0,6,3
633,15607.747176,0,0,0,10800,10800,10800,0,0,0,0,0,0,0,0,0,0,0,0,4807.7471757,4800,0,4800,7.7471756805,7.7471756805,0,0,0,2,1
923,10104.648305,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,3604.6483054,3600,0,3600,4.6483054083,4.6483054083,0,0,0,1,1
2886,39295.685043,0,0,0,31043,43043,43043,0,-12000,0,0,0,0,-12000,0,12000,0,0,0,8252.6850432,8000,0,8000,252.68504317,252.68504317,0,0,0,7,4
3717,6240,0,0,0,6240,0,0,0,6240,0,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,1,1
5416,40236.459378,31800,31800,0,8400,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,36.45937794,0,0,0,36.45937794,36.45937794,0,0,0,7,4
7886,36555.779665,1500,1500,0,26600,26000,26000,0,600,600,600,0,0,0,0,0,0,0,0,8455.7796649,8400,0,8400,55.7796649,55.7796649,0,0,0,7,4
20297,24347.538661,7540.68,7540.68,0,17859.32,15600,15600,0,2259.32,2259.32,2259.32,0,0,0,0,0,0,0,0,-1052.461339,0,0,0,-1052.461339,6.1977405444,0,0,1058.6590794,5,3
20711,32012.395481,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,0,0,6012.3954811,6000,0,6000,12.395481089,12.395481089,0,0,0,6,3
22099,13804.648305,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,1800,0,6000,6004.6483054,6000,0,6000,4.6483054083,4.6483054083,0,0,0,2,1
22169,11440.464831,0,0,0,11440,11440,11440,0,0,0,0,0,0,0,0,0,0,0,0,0.4648305408,0,0,0,0.4648305408,0.4648305408,0,0,0,1,1
22173,27026.340397,14000,14000,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,26.340397314,0,0,0,26.340397314,26.340397314,0,0,0,5,3
22276,19584.428942,0,0,0,14400,14400,14400,0,0,0,0,0,0,0,0,0,0,0,0,5184.428942,4800,0,4800,384.42894202,0,384.42894202,0,0,3,2
22286,30171.79507,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,12171.79507,12000,0,12000,171.79507003,171.79507003,0,0,0,6,3
22624,33504.648305,27500,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6004.6483054,6000,0,6000,4.6483054083,4.6483054083,0,0,0,6,3
22657,41599.630724,0,0,0,34300,34800,34800,0,-500,0,0,0,0,-500,0,500,0,0,0,7299.6307242,7200,0,7200,99.630724181,99.630724181,0,0,0,8,4
23490,22380.145609,0,0,0,16800,16800,16800,0,0,0,0,0,0,0,0,0,0,0,0,5580.1456087,5400,0,5400,180.14560869,180.14560869,0,0,0,4,2
23797,24226.340397,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6026.3403973,6000,0,6000,26.340397314,26.340397314,0,0,0,5,3
23821,13060.142657,0,0,0,8840,8840,8840,0,0,0,0,0,0,0,0,0,0,0,0,4220.1426568,4200,0,4200,20.142656769,20.142656769,0,0,0,2,1
23823,30820.285314,15000,15000,0,8580,8580,8580,0,0,0,0,0,0,0,0,0,0,0,0,7240.2853135,7200,0,7200,40.285313539,40.285313539,0,0,0,6,3
24147,87490.600497,0,0,0,43290,43290,43290,0,0,0,0,0,0,0,0,0,0,0,0,44200.600497,41300,19700,21600,2900.6004973,185.93221633,0,2714.668281,0,10,5
24809,18009.715649,0,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,6009.7156491,6000,0,6000,9.715649065,9.715649065,0,0,0,3,2
24853,56586.483054,19500,19500,0,28340,28340,28340,0,0,0,0,0,0,0,0,0,0,0,0,8746.4830541,8700,0,8700,46.483054083,46.483054083,0,0,0,9,5
27114,21623.191641,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,6023.1916408,6000,0,6000,23.19164081,23.19164081,0,0,0,4,2
27116,15207.747176,0,0,0,8400,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,6807.7471757,6800,0,6800,7.7471756805,7.7471756805,0,0,0,2,1
27238,40480.988703,17000,17000,0,18650,13650,13650,0,5000,5000,5000,0,0,0,0,0,0,0,0,4830.9887027,4800,0,4800,30.988702722,30.988702722,0,0,0,7,4
27730,45112.63404,16611.02,16611.02,0,22498.98,19110,19110,0,3388.98,3388.98,3388.98,0,0,0,0,0,0,0,0,6002.6340397,6000,0,6000,2.6340397314,2.6340397314,0,0,0,8,4
27734,19867,0,0,0,15067,15067,15067,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,0,4800,0,0,0,0,0,3,2
27739,18235.494351,0,0,0,4680,4680,4680,0,0,0,0,0,0,0,0,0,0,0,0,13555.494351,13540,9690,3850,15.494351361,15.494351361,0,0,0,3,2
27742,11920.154944,0,0,0,8320,8320,8320,0,0,0,0,0,0,0,0,0,0,0,0,3600.1549435,3600,0,3600,0.1549435136,0.1549435136,0,0,0,2,1
27912,41180.570627,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,0,0,0,6080.5706271,6000,0,6000,80.570627077,80.570627077,0,0,0,7,4
27923,42034.638438,0,0,0,35860,35360,35360,0,500,500,0,500,0,0,0,0,0,0,0,6174.638438,6000,0,6000,174.638438,75.922321669,23.308664078,75.40745225,0,8,4
28992,8584.087573,0,0,0,1350,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,7234.087573,7200,0,7200,34.087572994,34.087572994,0,0,0,1,1
29140,37021.692092,0,0,0,28600,28600,28600,0,0,0,0,0,0,0,0,0,0,0,0,8421.6920919,8400,0,8400,21.692091905,21.692091905,0,0,0,7,4
29678,21092.966108,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,5492.9661082,5400,0,5400,92.966108166,92.966108166,0,0,0,4,2
29680,26232.098397,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7232.0983966,7200,0,7200,32.098396591,32.098396591,0,0,0,5,3
29737,67207.234884,0,0,0,58500,58500,58500,0,0,0,0,0,0,0,0,0,0,0,0,8707.234884,6600,0,6600,2107.234884,2107.234884,0,0,0,9,5
31093,28504.711174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16500,12004.711174,12000,0,12000,4.711173567,4.711173567,0,0,0,6,3
31220,60313.442321,0,0,0,27170,27170,27170,0,0,0,0,0,0,0,0,0,0,0,800,32343.442321,31400,23600,7800,943.44232127,154.94351361,0,788.49880766,0,9,5
31221,46204.648305,0,0,0,33800,33800,33800,0,0,0,0,0,0,0,0,0,0,0,0,12404.648305,12400,0,12400,4.6483054083,4.6483054083,0,0,0,8,4
31625,37904.428118,28000,26000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9904.4281178,9800,200,9600,104.42811775,92.966108166,0,11.462009586,0,7,4
31652,43213.572201,0,0,0,39000,39000,39000,0,0,0,0,0,0,0,0,0,0,0,0,4213.5722009,4200,0,4200,13.572200905,13.572200905,0,0,0,8,4
31695,33674.094254,27000,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6674.0942543,7200,0,7200,-525.9057457,12.395481089,0,0,538.30122681,6,3
31724,84430.000437,51247.648903,51247.65,0,23584.351097,21632,21632,0,1952.3510972,752.35109718,752.35109718,0,1200,0,0,0,0,0,0,9598.0004368,8400,0,8400,1198.0004368,117.75707034,0,1080.2433665,0,10,5
31757,17910.692672,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,0,0,7510.6926717,7200,0,7200,310.69267165,30.988702722,279.70396893,0,0,3,2
31860,54021.692092,45000,44500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9021.6920919,9000,0,9000,21.692091905,21.692091905,0,0,0,9,5
32057,19875.227139,0,0,0,16926,16926,16926,0,0,0,0,0,0,0,0,0,0,0,0,2949.2271389,2600,0,2600,349.22713895,139.44916225,209.7779767,0,0,3,2
32190,23127.312557,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,4927.3125566,4800,0,4800,127.31255656,68.175145989,0,59.137410574,0,4,2
32320,101754.94351,90000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,9754.9435136,9600,0,9600,154.94351361,154.94351361,0,0,0,10,5
32471,11152.395481,0,0,0,7540,7540,7540,0,0,0,0,0,0,0,0,0,0,0,0,3612.3954811,3600,0,3600,12.395481089,12.395481089,0,0,0,1,1
32524,82979.300619,0,0,0,53625,53625,53625,0,0,0,0,0,0,0,0,0,0,0,0,29354.300619,20200,0,20200,9154.3006191,640.06613276,1813.6329821,6700.6015041,0,10,5
32556,21724.858099,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,4824.8580992,4800,0,4800,24.858099214,1.5494351361,23.308664078,0,0,4,2
32729,65187.889832,0,0,0,18360,17160,17160,0,1200,0,0,0,0,0,0,0,1200,0,30000,16827.889832,16800,0,16800,27.88983245,27.88983245,0,0,0,9,5
32734,22010.846046,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.846045953,0,0,0,10.846045953,10.846045953,0,0,0,4,2
32765,51021.813773,0,0,0,42640,42640,42640,0,0,0,0,0,0,0,0,0,0,0,0,8381.8137727,8150,0,8150,231.81377266,133.25142171,0,98.562350957,0,9,5
32772,25695.917889,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0,6195.9178891,6000,0,6000,195.91788913,156.49294875,0,39.424940383,0,5,3
32822,14412.395481,14400,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.395481089,0,0,0,12.395481089,12.395481089,0,0,0,2,1
32839,26423.11866,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,5623.1186596,5400,0,5400,223.1186596,223.1186596,0,0,0,5,3
32861,38665.494351,0,0,0,34450,34450,34450,0,0,0,0,0,0,0,0,0,0,0,0,4215.4943514,4200,0,4200,15.494351361,15.494351361,0,0,0,7,4
32887,45722.374029,0,0,0,950,0,0,0,950,950,950,0,0,0,0,0,0,0,0,44772.374029,46000,22000,24000,-1227.625971,343.60650018,0,366.65194556,1937.8844165,8,4
33036,36943.09887,13000,13000,0,23940,23940,23940,0,0,0,0,0,0,0,0,0,0,0,0,3.0988702722,0,0,0,3.0988702722,3.0988702722,0,0,0,7,4
33038,21403.718644,14400,14400,0,2000,0,0,0,2000,0,0,0,0,0,0,0,2000,0,2000,3003.7186443,3000,0,3000,3.7186443267,3.7186443267,0,0,0,4,2
33275,51246.483054,0,0,0,41600,41600,41600,0,0,0,0,0,0,0,0,0,0,0,0,9646.4830541,9600,0,9600,46.483054083,46.483054083,0,0,0,9,5
33303,37317.889832,0,0,0,32130,32630,32630,0,-500,0,0,0,0,-500,0,500,0,0,0,5187.8898324,5160,0,5160,27.88983245,27.88983245,0,0,0,7,4
33335,47335.336872,19000,19000,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,2500,14135.336872,14000,0,14000,135.33687166,22.621752987,0,256.26211249,143.54699382,8,4
33451,23415.494351,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,15.494351361,0,0,0,15.494351361,15.494351361,0,0,0,4,2
33479,44730.988703,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,0,0,0,9630.9887027,9600,0,9600,30.988702722,30.988702722,0,0,0,8,4
33839,13980.988703,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,0,0,6180.9887027,6150,0,6150,30.988702722,30.988702722,0,0,0,2,1
33882,22317.035724,0,0,0,15000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,7317.0357245,7200,0,7200,117.03572449,88.433072037,0,28.602652452,0,4,2
33937,14861.977405,0,0,0,6400,6400,6400,0,0,0,0,0,0,0,0,0,0,0,0,8461.9774054,8400,0,8400,61.977405444,61.977405444,0,0,0,2,1
34252,29415.494351,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,6015.4943514,6000,0,6000,15.494351361,15.494351361,0,0,0,6,3
34778,27565.494351,15000,15000,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,0,0,5415.4943514,5400,0,5400,15.494351361,15.494351361,0,0,0,5,3
34825,57539.009005,0,0,0,45500,45500,45500,0,0,0,0,0,0,0,0,0,0,0,0,12039.009005,9100,200,8900,2939.0090051,495.81924355,0,2443.1897615,0,9,5
35022,21003.09887,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0988702722,0,0,0,3.0988702722,3.0988702722,0,0,0,4,2
35234,26945.887854,0,0,0,20940,20940,20940,0,0,0,0,0,0,0,0,0,0,0,0,6005.8878535,6000,0,6000,5.8878535172,5.8878535172,0,0,0,5,3
35322,25707.608309,0,0,0,19160,13160,13160,0,6000,6000,0,6000,0,0,0,0,0,0,0,6547.608309,6500,0,6500,47.608309048,47.608309048,0,0,0,5,3
35323,19016.054319,0,0,0,14170,14170,14170,0,0,0,0,0,0,0,0,0,0,0,0,4846.0543186,4800,0,4800,46.054318631,46.054318631,0,0,0,3,2
35340,7171.6920919,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,0,0,21.692091905,0,0,0,21.692091905,21.692091905,0,0,0,1,1
35372,40070.779665,0,0,0,37015,37015,37015,0,0,0,0,0,0,0,0,0,0,0,0,3055.7796649,3000,0,3000,55.7796649,55.7796649,0,0,0,7,4
35379,23230.988703,0,0,0,17200,18200,18200,0,-1000,0,0,0,0,-1000,0,1000,0,0,0,6030.9887027,6000,0,6000,30.988702722,30.988702722,0,0,0,4,2
35640,45617.471757,0,0,0,33540,33540,33540,0,0,0,0,0,0,0,0,0,0,0,0,12077.471757,12000,0,12000,77.471756805,77.471756805,0,0,0,8,4
35682,39915.494351,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,0,0,0,4815.4943514,4800,0,4800,15.494351361,15.494351361,0,0,0,7,4
35788,32664.824212,0,0,0,24848,24848,24848,0,0,0,0,0,0,0,0,0,0,0,0,7816.8242122,7200,0,7200,616.82421221,616.82421221,0,0,0,6,3
36130,43805.494351,14640,14400,240,24350,22750,22750,0,1600,1600,1600,0,0,0,0,0,0,0,0,4815.4943514,4800,0,4800,15.494351361,15.494351361,0,0,0,8,4
36186,26302.169209,6800,6800,0,17100,6500,6500,0,10600,9300,0,9300,0,0,0,0,1300,0,0,2402.1692092,2400,0,2400,2.1692091905,2.1692091905,0,0,0,5,3
36250,21309.296611,16500,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809.2966108,4800,0,4800,9.2966108166,9.2966108166,0,0,0,4,2
36321,42925.421856,0,0,0,33150,33150,33150,0,0,0,0,0,0,0,0,0,0,0,0,9775.4218556,9600,0,9600,175.42185556,58.878535172,116.54332039,0,0,8,4
36333,11951.239548,0,0,0,7150,7150,7150,0,0,0,0,0,0,0,0,0,0,0,0,4801.2395481,4800,0,4800,1.2395481089,1.2395481089,0,0,0,2,1
36403,44000,0,0,0,44000,24000,24000,0,20000,7500,0,7500,0,0,0,0,500,12000,0,0,0,0,0,0,0,0,0,0,8,4
36409,41044.381752,0,0,0,32200,32200,32200,0,0,0,0,0,0,0,0,0,0,0,0,8844.3817525,9200,0,9200,-355.6182475,92.966108166,0,0,448.58435568,7,4
