NQUEST,Y,CN,CD1,CD2,CD,C,S
173,33061.977405,27700,0,0,0,27700,5361.9774054
633,15607.747176,13020,0,0,0,13020,2587.7471757
923,10104.648305,9300,0,200,200,9500,604.64830541
2886,39295.685043,22000,0,0,0,22000,17295.685043
3717,6240,10500,0,0,0,10500,-4260
5416,40236.459378,21300,0,0,0,21300,18936.459378
7886,36555.779665,21500,0,0,0,21500,15055.779665
20297,24347.538661,15160,0,0,0,15160,9187.5386612
20711,32012.395481,24470,0,0,0,24470,7542.3954811
22099,13804.648305,14400,0,0,0,14400,-595.3516946
22169,11440.464831,14500,0,0,0,14500,-3059.535169
22173,27026.340397,24600,0,0,0,24600,2426.3403973
22276,19584.428942,15200,0,0,0,15200,4384.428942
22286,30171.79507,22900,0,0,0,22900,7271.79507
22624,33504.648305,22400,0,0,0,22400,11104.648305
22657,41599.630724,41200,0,0,0,41200,399.63072418
23490,22380.145609,11100,0,0,0,11100,11280.145609
23797,24226.340397,24500,0,0,0,24500,-273.6596027
23821,13060.142657,11100,0,0,0,11100,1960.1426568
23823,30820.285314,23760,0,0,0,23760,7060.2853135
24147,87490.600497,45600,36000,0,36000,81600,5890.6004973
24809,18009.715649,15200,0,0,0,15200,2809.7156491
24853,56586.483054,21400,0,0,0,21400,35186.483054
27114,21623.191641,17960,0,300,300,18260,3363.1916408
27116,15207.747176,14800,0,0,0,14800,407.74717568
27238,40480.988703,19600,0,0,0,19600,20880.988703
27730,45112.63404,21300,0,780,780,22080,23032.63404
27734,19867,14630,0,100,100,14730,5137
27739,18235.494351,18010,0,0,0,18010,225.49435136
27742,11920.154944,7560,0,0,0,7560,4360.1549435
27912,41180.570627,33000,0,0,0,33000,8180.5706271
27923,42034.638438,27800,3000,0,3000,30800,11234.638438
28992,8584.087573,23350,0,0,0,23350,-14765.91243
29140,37021.692092,19000,15000,0,15000,34000,3021.6920919
29678,21092.966108,19100,0,0,0,19100,1992.9661082
29680,26232.098397,23060,0,0,0,23060,3172.0983966
29737,67207.234884,22400,0,0,0,22400,44807.234884
31093,28504.711174,18080,0,0,0,18080,10424.711174
31220,60313.442321,24600,0,0,0,24600,35713.442321
31221,46204.648305,34100,0,0,0,34100,12104.648305
31625,37904.428118,23500,0,0,0,23500,14404.428118
31652,43213.572201,26300,0,0,0,26300,16913.572201
31695,33674.094254,16300,0,0,0,16300,17374.094254
31724,84430.000437,28400,0,0,0,28400,56030.000437
31757,17910.692672,14500,0,0,0,14500,3410.6926717
31860,54021.692092,34700,0,800,800,35500,18521.692092
32057,19875.227139,10440,0,0,0,10440,9435.2271389
32190,23127.312557,14220,0,500,500,14720,8407.3125566
32320,101754.94351,24100,0,0,0,24100,77654.943514
32471,11152.395481,10900,0,0,0,10900,252.39548109
32524,82979.300619,49499,0,0,0,49499,33480.300619
32556,21724.858099,12900,0,0,0,12900,8824.8580992
32729,65187.889832,36400,0,0,0,36400,28787.889832
32734,22010.846046,16900,0,0,0,16900,5110.846046
32765,51021.813773,21250,0,0,0,21250,29771.813773
32772,25695.917889,19800,0,0,0,19800,5895.9178891
32822,14412.395481,16440,0,680,680,17120,-2707.604519
32839,26423.11866,15800,-250,0,-250,15550,10873.11866
32861,38665.494351,23800,0,1400,1400,25200,13465.494351
32887,45722.374029,37300,1000,0,1000,38300,7422.3740292
33036,36943.09887,9960,0,0,0,9960,26983.09887
33038,21403.718644,15000,0,0,0,15000,6403.7186443
33275,51246.483054,20000,0,0,0,20000,31246.483054
33303,37317.889832,17860,0,0,0,17860,19457.889832
33335,47335.336872,27160,0,400,400,27560,19775.336872
33451,23415.494351,24200,0,0,0,24200,-784.5056486
33479,44730.988703,38200,0,0,0,38200,6530.9887027
33839,13980.988703,12150,0,0,0,12150,1830.9887027
33882,22317.035724,19300,0,0,0,19300,3017.0357245
33937,14861.977405,16200,0,0,0,16200,-1338.022595
34252,29415.494351,22200,0,0,0,22200,7215.4943514
34778,27565.494351,18500,16000,0,16000,34500,-6934.505649
34825,57539.009005,28300,0,0,0,28300,29239.009005
35022,21003.09887,26300,0,0,0,26300,-5296.90113
35234,26945.887854,19945,0,0,0,19945,7000.8878535
35322,25707.608309,18300,0,0,0,18300,7407.608309
35323,19016.054319,14700,0,0,0,14700,4316.0543186
35340,7171.6920919,7440,0,0,0,7440,-268.3079081
35372,40070.779665,23500,0,0,0,23500,16570.779665
35379,23230.988703,16100,0,0,0,16100,7130.9887027
35640,45617.471757,17500,0,0,0,17500,28117.471757
35682,39915.494351,17600,0,0,0,17600,22315.494351
35788,32664.824212,46500,0,350,350,46850,-14185.17579
36130,43805.494351,29440,10000,0,10000,39440,4365.4943514
36186,26302.169209,14810,0,0,0,14810,11492.169209
36250,21309.296611,17400,0,400,400,17800,3509.2966108
36321,42925.421856,28000,0,0,0,28000,14925.421856
36333,11951.239548,11600,0,0,0,11600,351.23954811
36403,44000,5400,0,0,0,5400,38600
